,participant,dataset,image,trial,true_value,pred_value,duration,break,switches_fixations,fixations,p_nan,len,switches,line_start_x,line_start_y,line_end_x,line_end_y
675,6,rbp1,single_chess_mirror_00053,3,1,0,13.574000000000002,10.638,10.0,33.0,3.68,815.0,30.0,182.58008658008652,348.2597402597402,350.1991341991342,360.72727272727263
676,6,rbp1,single_chess_mirror_00283,4,1,0,11.465,2.818,9.0,24.0,3.49,688.0,26.0,267.0822510822511,115.53246753246742,250.45887445887445,328.8658008658008
677,6,rbp1,single_chess_nomirror_00262,5,0,1,20.151,3.0260000000000002,6.0,33.0,10.29,1205.0,15.0,189.50649350649346,274.83982683982674,393.1428571428572,295.61904761904754
678,6,rbp1,single_chess_nomirror_00312,6,0,1,32.828,1.3159999999999998,19.0,57.0,24.57,1937.0,28.0,186.73593073593068,137.69696969696963,323.8787878787879,342.7186147186146
679,6,rbp1,single_chess_mirror_00238,7,1,1,10.987,2.819,8.0,34.0,0.46,659.0,10.0,120.2424242424242,209.73160173160164,426.38961038961037,223.58441558441555
680,6,rbp1,single_chess_nomirror_00499,8,0,1,12.18,2.475,11.0,37.0,8.38,728.0,18.0,193.66233766233762,303.9307359307358,448.55411255411263,302.5454545454545
681,6,rbp1,single_chess_nomirror_00471,9,0,1,33.183,1.9380000000000002,18.0,63.0,18.03,1974.0,27.0,177.03896103896102,312.2424242424242,441.62770562770567,328.8658008658008
682,6,rbp1,single_chess_mirror_00246,10,1,1,59.813,1.133,19.0,69.0,4.69,3584.0,31.0,84.22510822510816,267.91341991341983,357.12554112554113,219.42857142857133
683,6,rbp1,single_chess_mirror_00435,11,1,1,2.67,0.75,3.0,10.0,0.62,160.0,3.0,163.1861471861471,298.3896103896103,340.5021645021645,155.70562770562762
684,6,rbp1,single_chess_mirror_00360,12,1,1,6.849,0.55,4.0,22.0,3.41,411.0,5.0,214.4415584415584,297.0043290043289,425.00432900432907,302.5454545454545
685,6,rbp1,single_chess_mirror_00141,13,1,0,4.244,0.65,2.0,9.0,1.57,255.0,2.0,50.97835497835493,234.66666666666657,282.3203463203464,249.9047619047618
686,6,rbp1,single_chess_nomirror_00416,14,0,1,16.381,0.767,6.0,41.0,3.36,983.0,8.0,106.38961038961037,281.76623376623365,328.03463203463207,194.4935064935064
